name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
Fp1	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
Fp2	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
AFz	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
F7	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
F3	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
Fz	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
F4	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
F8	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
FC5	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
FC1	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
FC2	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
FC6	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
C3	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
Cz	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
C4	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
CP5	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
CP1	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
CP2	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
CP6	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
P7	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
P3	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
Pz	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
P4	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
P8	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
PO7	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
PO3	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
POz	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
PO4	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
PO8	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
O1	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
Oz	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
O2	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
VEOGU	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
VEOGL	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
L1	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
L2	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
L4	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
L5	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
L6	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
L7	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
L9	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
L10	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
R1	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
R2	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
R4	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
R5	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
R7	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
R8	EEG	V	0.0	250.0	ElectroEncephaloGram	500.0	good	n/a
